,the,of,and,to,in,a,our,that,we,be,is,it,for,by,which,have,with,as,will,not,this,i,all,are,their,but,has,its,from,government,people,or,on,my,been,us,no,they,can,so,an,upon,who,must,at,great,may,states,those,should,them,more,shall,world,every,country,nation,these,if,any,was,other,peace,there,one,own,new,only,than,power,do,public,now,nations,such,time,when,his,would,constitution,united,you,under,me,free,freedom,union,america,most,what,war,american,national,made,citizens,let,were,good,make,years,men,rights,justice,without,spirit,life,laws,had,congress,never,into,before,law,just,your,each,well,best,right,liberty,duty,work,cannot,because,hope,interests,against,he,through,some,among,state,many,both,political,foreign,much,know,today,powers,long,first,between,policy,executive,part,principles,out,history,within,human,future,progress,president,duties,whole,same,administration,too,common,system,over,fellowcitizens,support,nor,confidence,man,faith,god,while,purpose,present,less,day,then,necessary,service,party,way,still,yet,far,here,force,ever,together,ourselves,others,equal,high,always,better,believe,old,general,office,strength,institutions,come,interest
adams john,163,140,130,72,47,51,6,22,3,31,14,34,21,30,20,7,16,14,2,15,18,13.0,18,5,15,10,7,17,13,16.0,20,22.0,10,14,8,2.0,6.0,2.0,8,7,18,5.0,6.0,2.0,6.0,5.0,13.0,9.0,2.0,4.0,6.0,10.0,4.0,3.0,5.0,9.0,9.0,2,25.0,7.0,8.0,2.0,5.0,1.0,0.0,4.0,1.0,8.0,7.0,5.0,1.0,6.0,0.0,11,6.0,1.0,4.0,8.0,2.0,8.0,3.0,0.0,6.0,5.0,2.0,0.0,2.0,5.0,5.0,3.0,1.0,3.0,4.0,0.0,2.0,0.0,5.0,6.0,1.0,3.0,4.0,1.0,6.0,3.0,6.0,2.0,2.0,7.0,6.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,4.0,3.0,1.0,3.0,1.0,8.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,2.0,3.0,4.0,3.0,4.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,3.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0
cleveland,329,236,205,136,67,51,72,37,23,43,32,26,26,37,36,19,24,19,16,10,23,23.0,21,10,42,10,7,15,20,29.0,35,14.0,3,15,4,14.0,8.0,10.0,9,3,9,11.0,17.0,4.0,6.0,3.0,8.0,5.0,15.0,24.0,10.0,4.0,14.0,1.0,14.0,4.0,2.0,4,10.0,4.0,2.0,1.0,2.0,3.0,3.0,0.0,1.0,4.0,4.0,8.0,3.0,19.0,3.0,3,3.0,4.0,8.0,6.0,1.0,10.0,4.0,1.0,5.0,6.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0,10.0,3.0,6.0,2.0,1.0,5.0,3.0,0.0,4.0,3.0,3.0,1.0,4.0,7.0,8.0,1.0,0.0,1.0,0.0,3.0,2.0,3.0,2.0,1.0,3.0,5.0,6.0,1.0,5.0,3.0,2.0,2.0,2.0,12.0,4.0,3.0,4.0,0.0,4.0,2.0,0.0,0.0,6.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,6.0,4.0,0.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,7.0,2.0,6.0,2.0,4.0,3.0,4.0,1.0,2.0,3.0,1.0,0.0,2.0,8.0,4.0,1.0,3.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,4.0,5.0,0.0,1.0
buchanan,238,139,97,104,61,57,35,27,16,28,33,32,28,22,24,22,14,31,13,9,39,16.0,15,5,15,10,26,11,17,13.0,13,12.0,12,7,17,0.0,11.0,4.0,6,3,6,3.0,1.0,2.0,8.0,11.0,15.0,22.0,2.0,9.0,9.0,7.0,18.0,3.0,5.0,9.0,6.0,8,2.0,13.0,5.0,6.0,5.0,2.0,3.0,7.0,1.0,7.0,9.0,7.0,2.0,9.0,7.0,5,9.0,6.0,9.0,4.0,5.0,17.0,8.0,2.0,8.0,2.0,9.0,0.0,9.0,1.0,3.0,1.0,6.0,2.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,0.0,3.0,0.0,9.0,6.0,6.0,3.0,1.0,2.0,0.0,3.0,4.0,5.0,2.0,3.0,3.0,1.0,0.0,5.0,1.0,2.0,5.0,0.0,2.0,2.0,2.0,5.0,3.0,2.0,5.0,3.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,1.0,4.0,1.0,2.0,4.0,0.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0,3.0,6.0,1.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
kennedy,85,66,35,37,23,28,21,20,30,7,7,7,15,7,7,4,5,6,7,16,12,3.0,9,8,2,12,3,6,7,0.0,1,7.0,3,3,4,12.0,0.0,1.0,9,2,2,0.0,6.0,1.0,3.0,1.0,3.0,2.0,7.0,0.0,5.0,4.0,5.0,8.0,2.0,4.0,2.0,1,2.0,8.0,1.0,4.0,4.0,2.0,3.0,3.0,7.0,3.0,1.0,5.0,7.0,0.0,2.0,5,0.0,2.0,1.0,3.0,2.0,0.0,2.0,6.0,1.0,0.0,5.0,2.0,0.0,2.0,0.0,5.0,4.0,0.0,1.0,0.0,5.0,16.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,4.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
truman,138,97,98,80,57,39,32,37,59,15,26,8,30,18,12,22,18,13,22,7,14,10.0,24,30,23,6,6,6,8,1.0,12,0.0,13,1,1,5.0,4.0,7.0,16,3,2,2.0,8.0,9.0,2.0,3.0,1.0,5.0,4.0,4.0,3.0,10.0,5.0,22.0,3.0,3.0,2.0,9,3.0,3.0,0.0,7.0,13.0,0.0,1.0,5.0,8.0,6.0,1.0,1.0,2.0,0.0,6.0,22,4.0,4.0,0.0,2.0,3.0,0.0,10.0,1.0,3.0,1.0,11.0,12.0,0.0,0.0,2.0,7.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,6.0,2.0,6.0,2.0,0.0,5.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,5.0,4.0,1.0,4.0,0.0,2.0,3.0,0.0,3.0,5.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,3.0,5.0,1.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,2.0,8.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0
garfield,316,181,119,80,49,35,35,34,10,31,37,35,32,27,27,22,19,10,21,18,19,10.0,19,13,18,17,20,21,10,20.0,21,8.0,7,8,14,6.0,12.0,9.0,10,7,6,13.0,5.0,0.0,9.0,11.0,7.0,14.0,5.0,14.0,9.0,7.0,8.0,2.0,4.0,2.0,9.0,3,6.0,9.0,7.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,8.0,9.0,1.0,2.0,9.0,4,3.0,4.0,2.0,0.0,0.0,15.0,7.0,2.0,6.0,1.0,3.0,7.0,11.0,1.0,2.0,0.0,5.0,1.0,7.0,9.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,5.0,1.0,3.0,0.0,1.0,5.0,2.0,9.0,3.0,0.0,2.0,10.0,0.0,0.0,2.0,1.0,3.0,1.0,5.0,5.0,1.0,3.0,0.0,2.0,3.0,5.0,0.0,2.0,0.0,1.0,1.0,2.0,4.0,2.0,0.0,2.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,4.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0
trump,71,48,76,37,14,15,48,10,46,13,20,9,13,6,4,5,8,4,43,10,11,3.0,14,13,11,13,6,5,11,3.0,9,4.0,6,1,4,2.0,6.0,5.0,1,3,3,0.0,1.0,3.0,5.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,7.0,9.0,6.0,3,0.0,0.0,1.0,5.0,0.0,3.0,8.0,2.0,6.0,3.0,0.0,4.0,3.0,1.0,6.0,5,0.0,2.0,3.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,1.0,0.0,0.0,19.0,1.0,1.0,0.0,11.0,2.0,2.0,4.0,2.0,1.0,3.0,5.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,1.0,11.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,6.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
grant,187,119,76,106,53,40,19,30,7,44,26,30,21,13,12,15,19,25,26,13,24,44.0,23,11,11,10,4,6,10,7.0,9,14.0,6,29,9,7.0,6.0,5.0,5,7,2,8.0,4.0,3.0,5.0,7.0,7.0,6.0,2.0,16.0,10.0,3.0,4.0,3.0,7.0,15.0,6.0,4,4.0,8.0,8.0,2.0,1.0,2.0,8.0,4.0,1.0,4.0,7.0,3.0,5.0,6.0,11.0,5,5.0,2.0,8.0,5.0,5.0,2.0,3.0,0.0,6.0,9.0,2.0,0.0,4.0,0.0,0.0,3.0,4.0,0.0,4.0,6.0,2.0,2.0,2.0,6.0,2.0,6.0,1.0,3.0,0.0,8.0,1.0,0.0,6.0,5.0,2.0,2.0,3.0,6.0,2.0,1.0,3.0,1.0,2.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,4.0,3.0,0.0,2.0,1.0,2.0,0.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,4.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,9.0,1.0,0.0,2.0,4.0
harrison,1188,843,421,451,252,194,140,195,44,151,133,143,87,139,125,92,80,98,67,95,48,63.0,58,57,117,63,58,59,65,46.0,66,84.0,17,32,59,17.0,49.0,40.0,26,45,45,55.0,34.0,15.0,39.0,33.0,46.0,45.0,41.0,40.0,43.0,30.0,28.0,2.0,18.0,28.0,15.0,20,34.0,56.0,46.0,35.0,6.0,34.0,27.0,21.0,8.0,33.0,29.0,53.0,10.0,28.0,10.0,2,24.0,11.0,13.0,35.0,31.0,47.0,10.0,6.0,22.0,18.0,18.0,8.0,15.0,0.0,18.0,6.0,6.0,13.0,6.0,16.0,19.0,3.0,17.0,10.0,10.0,8.0,13.0,19.0,9.0,16.0,23.0,3.0,22.0,17.0,18.0,13.0,11.0,4.0,9.0,9.0,2.0,14.0,18.0,9.0,8.0,18.0,19.0,2.0,5.0,4.0,6.0,11.0,5.0,17.0,2.0,18.0,7.0,22.0,13.0,4.0,11.0,7.0,11.0,1.0,1.0,20.0,8.0,9.0,11.0,10.0,30.0,15.0,11.0,4.0,3.0,6.0,2.0,4.0,4.0,15.0,10.0,13.0,13.0,8.0,6.0,4.0,8.0,7.0,12.0,5.0,6.0,7.0,6.0,3.0,1.0,1.0,3.0,4.0,7.0,4.0,9.0,14.0,6.0,12.0,1.0,4.0,8.0,8.0,4.0,1.0,4.0,0.0,1.0,12.0,4.0,7.0,4.0,8.0,4.0,1.0,12.0,10.0,2.0,11.0,4.0,11.0
roosevelt theodore,65,45,38,28,23,20,22,12,32,9,11,8,4,7,16,15,6,11,5,8,6,0.0,5,10,3,11,6,4,5,1.0,6,0.0,1,1,3,12.0,7.0,3.0,2,3,3,1.0,5.0,6.0,0.0,5.0,0.0,0.0,0.0,6.0,2.0,2.0,2.0,3.0,3.0,0.0,5.0,3,3.0,1.0,1.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,1.0,0.0,2.0,2,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,2.0,1.0,3.0,6.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
obama,236,151,200,136,46,84,143,104,130,22,61,31,51,19,4,25,26,23,39,39,37,7.0,21,43,14,33,18,12,15,7.0,18,24.0,24,5,10,44.0,13.0,26.0,20,16,10,5.0,21.0,25.0,9.0,4.0,7.0,3.0,22.0,0.0,4.0,12.0,3.0,9.0,15.0,8.0,18.0,18,2.0,2.0,6.0,4.0,7.0,4.0,8.0,1.0,17.0,8.0,14.0,6.0,15.0,0.0,11.0,5,0.0,16.0,14.0,2.0,3.0,1.0,4.0,21.0,1.0,0.0,5.0,9.0,1.0,14.0,6.0,16.0,5.0,8.0,1.0,3.0,7.0,9.0,4.0,2.0,9.0,6.0,7.0,3.0,2.0,3.0,6.0,6.0,0.0,1.0,1.0,4.0,4.0,5.0,3.0,8.0,3.0,7.0,7.0,0.0,1.0,7.0,2.0,10.0,12.0,13.0,5.0,2.0,2.0,2.0,10.0,3.0,1.0,1.0,4.0,0.0,1.0,0.0,2.0,8.0,11.0,0.0,7.0,0.0,4.0,0.0,0.0,2.0,4.0,3.0,5.0,0.0,1.0,7.0,2.0,3.0,2.0,0.0,3.0,0.0,7.0,9.0,1.0,3.0,0.0,1.0,6.0,2.0,3.0,3.0,8.0,3.0,4.0,0.0,7.0,5.0,3.0,0.0,3.0,1.0,4.0,8.0,2.0,2.0,3.0,3.0,1.0,8.0,5.0,1.0,7.0,1.0,3.0,3.0,6.0,3.0,0.0,1.0,3.0,1.0,4.0,1.0
